VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesAvgPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,750.0,26.99,20.45,41048,839431.6,27.492884487571448,37615,1034144.85,29615.6,123880.97,194713.25,18.828431046192417,0.9163662054180471,1.231958446644134,20.45,Large,70204.84999999999
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,1750.0,23.99,17.14,44198,757553.72,25.126723864654398,43533,1093841.67,79984.58,50293.62,336287.94999999995,30.743750144387892,0.984954070319924,1.4439130072518158,17.14,Large,11398.1
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,1750.0,67.99,53.96,13759,742435.64,68.93935654806964,13210,910688.8999999999,24275.31,123780.22,168253.2599999999,18.475382756943663,0.960098844392761,1.2266233609151629,53.96,Large,29624.04
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,750.0,22.99,17.59,41893,736897.87,23.297979569218906,41506,967005.94,32678.12,257032.07,230108.06999999995,23.795931387970583,0.990762179839114,1.3122658910657456,17.59,Large,6807.33
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,1750.0,17.99,14.28,48481,692308.68,18.309966530697626,47805,875307.95,87832.83,79528.99,182999.2699999999,20.906844271207625,0.9860563932262123,1.2643319017753756,14.280000000000001,Large,9653.279999999999
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,1750.0,12.99,9.62,71899,691668.38,12.99410797287885,70351,914148.49,129253.37,50293.62,222480.11,24.337414811022658,0.9784697979109584,1.3216571935816988,9.62,Large,14891.759999999998
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,1750.0,12.99,9.41,73227,689066.07,13.170447788126534,72043,948838.57,132364.71,79528.99,259772.5,27.377944806775723,0.9838311005503435,1.376992151130007,9.41,Large,11141.44
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,750.0,12.99,8.44,80030,675453.2,13.968836615981223,78392,1095045.04,8799.82,144929.24,419591.8400000001,38.31731341388479,0.9795326752467824,1.6212004621489693,8.44,Large,13824.72
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,1000.0,29.99,19.84,32554,645871.36,29.25135229540918,32064,937915.36,33667.2,68601.68,292044.0,31.137564481298185,0.9849480862566812,1.4521705374890752,19.84,Large,9721.6
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,1750.0,16.99,13.48,47654,642375.92,19.02140412258146,47446,902489.5399999999,87173.56999999999,257032.07,260113.61999999988,28.82178778493099,0.9956352037604398,1.4049243004003011,13.48,Large,2803.84
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,1750.0,10.49,7.19,86887,624717.53,10.431121874818725,86195,899110.55,158367.21,17932.33,274393.02,30.51827386521046,0.9920356324881743,1.439227341675525,7.19,Large,4975.4800000000005
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,1500.0,8.99,6.03,101547,612328.41,10.0289978192009,101339,1016328.61,22776.05,79528.99,404000.19999999995,39.750942364989605,0.9979516873959842,1.6597769977715062,6.03,Large,1254.24
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,750.0,28.99,19.83,30830,611358.9,25.232486592235304,29647,748067.53,23348.15,257032.07,136708.63,18.27490494073443,0.9616282841388258,1.223614361384123,19.830000000000002,Large,23458.89
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,750.0,22.99,18.1,33715,610241.5,23.385917376929843,32969,771010.3099999999,25959.91,68601.68,160768.80999999994,20.85170689870541,0.9778733501408868,1.2634511254970366,18.1,Large,13502.6
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,1750.0,51.99,34.3,17537,601519.1,51.18535086083659,16089,823521.11,29564.92,123880.97,222002.01,26.957658681026402,0.9174317158008781,1.3690689289833025,34.3,Large,49666.399999999994
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,750.0,9.95,6.59,91140,600612.6,9.863343303754418,90267,890334.41,10138.880000000001,144929.24,289721.81000000006,32.540785433643975,0.9904213298222515,1.482377176236396,6.59,Large,5753.07
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,1500.0,9.99,6.75,88752,599076.0,10.74573192079478,87974,945345.02,19771.27,13605.41,346269.02,36.628851125698006,0.9912340003605552,1.5780051612817072,6.75,Large,5251.5
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,1000.0,23.99,16.54,35922,594149.88,24.13475229936105,34901,842326.99,36646.05,144929.24,248177.11,29.463274114011234,0.9715773063860587,1.4177011867779894,16.54,Large,16887.34
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,750.0,16.99,12.59,45969,578749.7100000001,17.68447822366347,44406,785296.94,34961.13,123780.22,206547.22999999986,26.301799928062863,0.9659988252953077,1.3568852414630148,12.590000000000002,Large,19678.17
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,750.0,34.99,23.97,24088,577389.36,35.847664233576644,23290,834892.1,2606.53,48347.26,257502.74,30.842637030581553,0.9668714712720027,1.445977632840342,23.97,Large,19128.059999999998
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,750.0,29.99,22.55,25540,575927.0,30.909300939306355,22144,684455.5599999999,17438.07,123880.97,108528.55999999994,15.856187945934716,0.8670321064996085,1.188441521234462,22.55,Large,76579.8
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,750.0,29.99,22.05,25361,559210.05,30.818259991925714,24770,763368.2999999999,19504.75,16978.67,204158.24999999988,26.74439716713412,0.9766965025038444,1.3650832992003628,22.05,Large,13031.550000000001
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,750.0,34.99,27.77,19910,552900.7000000001,35.70277566131888,18637,665392.63,14677.69,16978.67,112491.92999999993,16.906097983081047,0.9360622802611753,1.203457745667531,27.770000000000003,Large,35351.21
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,1750.0,38.99,28.02,19219,538516.38,38.42035616438356,18250,701171.5,33536.43,68601.68,162655.12,23.19762283549745,0.9495811436599199,1.3020430316344322,28.02,Large,27151.38
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,750.0,25.99,18.51,28421,526072.71,26.62770033818556,27204,724379.96,21421.64,257032.07,198307.25,27.376136965467683,0.9571795503325006,1.3769578733707741,18.509999999999998,Large,22526.670000000002
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,750.0,15.99,11.76,44330,521320.8,16.086175819901296,41133,661672.67,32383.34,8549.55,140351.87000000005,21.21167706684939,0.9278817956237311,1.269223614327301,11.76,Large,37596.72
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,750.0,9.99,5.44,94779,515597.76,8.874447379912663,91600,812899.38,10283.26,61966.91,297301.62,36.57299135841387,0.9664588147163401,1.576615422068552,5.44,Large,17293.760000000002
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,750.0,29.99,22.83,22352,510296.16,30.338875137909532,20847,632474.53,16416.8,30234.420000000002,122178.37000000005,19.317516232629963,0.9326682176091625,1.2394263950565492,22.83,Large,34359.149999999994
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,1750.0,39.99,31.99,15805,505601.95,36.767582731942014,15381,565522.1900000001,28264.51,123880.97,59920.24000000005,10.595559477515822,0.9731730465042708,1.1185126758312542,31.990000000000002,Large,13563.76
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,1750.0,25.99,18.56,26795,497315.2,26.724333489607748,25596,684036.0399999999,47031.43,38994.78,186720.8399999999,27.29693014420701,0.9552528456801642,1.3754577378692625,18.56,Large,22253.44
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,1750.0,12.99,8.52,58309,496792.68,12.522440141758148,57845,724360.55,106278.68,257032.07,227567.87000000005,31.416380972155377,0.9920423948275566,1.458074120576817,8.52,Large,3953.2799999999997
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,1750.0,10.49,8.26,57575,475569.5,11.364454588466188,57067,648535.33,104847.72,14069.87,172965.82999999996,26.670224735482023,0.9911767260095528,1.3637025292833118,8.26,Large,4196.08
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,1750.0,34.99,25.92,18298,474284.16000000003,34.357713748479156,18082,621256.18,33226.63,8549.55,146972.02000000002,23.657232673323268,0.9881954311946661,1.3098817805764376,25.92,Large,5598.72
